parent_part,child_part,qty_per_parent
SEA-FG-00,SEA-P-0000,1
SEA-FG-00,SEA-P-0004,4
SEA-FG-00,SEA-P-0008,4
SEA-FG-00,SEA-P-0012,1
SEA-FG-00,SEA-P-0016,2
SEA-FG-00,SEA-P-0020,2
SEA-FG-00,SEA-P-0024,4
SEA-FG-00,SEA-P-0028,2
SEA-FG-00,SEA-P-0032,2
SEA-FG-00,SEA-P-0036,4
SEA-FG-00,SEA-P-0040,1
SEA-FG-00,SEA-P-0044,2
SEA-FG-00,SEA-P-0048,4
SEA-FG-00,SEA-P-0052,4
SEA-FG-00,SEA-P-0056,4
SEA-FG-00,SEA-P-0060,1
SEA-FG-00,SEA-P-0064,3
SEA-FG-00,SEA-P-0068,2
SEA-FG-00,SEA-P-0072,2
SEA-FG-00,SEA-P-0076,3
SEA-FG-00,SEA-P-0080,2
SEA-FG-00,SEA-P-0084,4
SEA-FG-00,SEA-P-0088,3
SEA-FG-00,SEA-P-0295,1
SEA-FG-01,SEA-P-0001,3
SEA-FG-01,SEA-P-0005,3
SEA-FG-01,SEA-P-0009,2
SEA-FG-01,SEA-P-0013,3
SEA-FG-01,SEA-P-0017,3
SEA-FG-01,SEA-P-0021,1
SEA-FG-01,SEA-P-0025,1
SEA-FG-01,SEA-P-0029,4
SEA-FG-01,SEA-P-0033,2
SEA-FG-01,SEA-P-0037,2
SEA-FG-01,SEA-P-0041,2
SEA-FG-01,SEA-P-0045,4
SEA-FG-01,SEA-P-0049,4
SEA-FG-01,SEA-P-0053,3
SEA-FG-01,SEA-P-0057,2
SEA-FG-01,SEA-P-0061,3
SEA-FG-01,SEA-P-0065,3
SEA-FG-01,SEA-P-0069,2
SEA-FG-01,SEA-P-0073,1
SEA-FG-01,SEA-P-0077,4
SEA-FG-01,SEA-P-0081,4
SEA-FG-01,SEA-P-0085,4
SEA-FG-02,SEA-P-0002,3
SEA-FG-02,SEA-P-0006,4
SEA-FG-02,SEA-P-0010,4
SEA-FG-02,SEA-P-0014,3
SEA-FG-02,SEA-P-0018,2
SEA-FG-02,SEA-P-0022,1
SEA-FG-02,SEA-P-0026,4
SEA-FG-02,SEA-P-0030,4
SEA-FG-02,SEA-P-0034,1
SEA-FG-02,SEA-P-0038,2
SEA-FG-02,SEA-P-0042,1
SEA-FG-02,SEA-P-0046,3
SEA-FG-02,SEA-P-0050,2
SEA-FG-02,SEA-P-0054,2
SEA-FG-02,SEA-P-0058,3
SEA-FG-02,SEA-P-0062,2
SEA-FG-02,SEA-P-0066,1
SEA-FG-02,SEA-P-0070,4
SEA-FG-02,SEA-P-0074,4
SEA-FG-02,SEA-P-0078,4
SEA-FG-02,SEA-P-0082,4
