part_number,supplier_name,quoted_lead_time_days,lead_time_p95_days
SEA-P-0000,Northwind Corporation,300,390
SEA-P-0003,Yarrow Holdings,3,3
SEA-P-0003,Glenmoor Corporation,78,101
SEA-P-0027,Fairmont Industries,197,256
SEA-P-0040,Marrow Corporation,256,332
SEA-P-0064,Glenmoor Corporation,34,44
SEA-P-0089,Jasper Wks.,122,190
SEA-P-0089,Underhill Industries,150,215
SEA-P-0090,Glenmoor Corporation,281,329
SEA-P-0090,Fairmont Inds.,294,457
SEA-P-0091,Braxton Industries,142,188
SEA-P-0091,WESTMERE CORPORATION,23,35
SEA-P-0092,Calder Corporation,140,191
SEA-P-0092,Underhill Industries,297,407
SEA-P-0093,Stanmore Manufacturing,226,316
SEA-P-0093,Jasper  Works,181,230
SEA-P-0093,Quillon Manufacturing,85,104
SEA-P-0094,Vantage Works,235,258
SEA-P-0094,Fairmont Industries,209,318
SEA-P-0095,yarrow corporation,99,132
SEA-P-0095,Ironside Manufacturing,251,280
SEA-P-0095,Fairmont Inds,29,33
SEA-P-0096,Lindholm  Works,61,79
SEA-P-0097,Quillon Manufacturing,250,397
SEA-P-0097,WESTMERE CORPORATION,77,97
SEA-P-0098,harrowgate works,278,365
SEA-P-0098,Quillon Manufacturing,215,265
SEA-P-0098,Ravensford Corporation,155,234
SEA-P-0099,Deepwater Corporation,122,185
SEA-P-0099,Ironside Manufacturing,99,157
SEA-P-0100,Marrow Corporation,198,249
SEA-P-0100,ravensford corporation,67,88
SEA-P-0101,Braxton Industries,41,53
SEA-P-0102,Marrow Corporation ,171,259
SEA-P-0102,Underhill Inds.,252,385
SEA-P-0102,Westmere Corporation,123,171
SEA-P-0103,Kestrel Corp.,223,252
SEA-P-0103,Lindholm Wks.,54,69
SEA-P-0103,Ravensford Corporation,169,251
SEA-P-0104,Pellworth Corporation,43,59
SEA-P-0104,Fairmont Inds.,126,166
SEA-P-0105,Braxton Industries,282,320
SEA-P-0106,Pellworth Corporation,250,277
SEA-P-0107,Eastvale Industries,14,22
SEA-P-0108,Underhill Industries,100,139
SEA-P-0109,Eastvale Industries,279,427
SEA-P-0109,Pellworth Corporation,170,248
SEA-P-0110,Calder Corporation,176,262
SEA-P-0110,Quillon Manufacturing,249,393
SEA-P-0111,KESTREL CORPORATION,206,325
SEA-P-0112,Eastvale Industries,290,356
SEA-P-0112,braxton industries,193,214
SEA-P-0113,kestrel corporation,255,284
SEA-P-0114,Ironside Manufacturing,192,272
SEA-P-0115,Norbury Corporation,192,224
SEA-P-0115,Ironside Manufacturing,53,79
SEA-P-0116,Lindholm Works,281,434
SEA-P-0116,Eastvale Industries,144,166
SEA-P-0117,Braxton Industries,13,14
SEA-P-0118,Harrowgate Wks.,286,332
SEA-P-0118,Pellworth Corporation,78,115
SEA-P-0119,Harrowgate Works,186,276
SEA-P-0119,calder corporation,92,102
SEA-P-0121,Oakhaven Mfg.,188,250
SEA-P-0121,Ravensford Corporation,116,182
SEA-P-0122,Fairmont Industries,18,19
SEA-P-0123,Deepwater Corporation,230,250
SEA-P-0124,GLENMOOR CORPORATION,274,332
SEA-P-0125,NORBURY CORPORATION,285,412
SEA-P-0126,Deepwater Corp.,163,230
SEA-P-0126,Norbury  Corporation,245,266
SEA-P-0126,Ravensford Corporation,52,75
SEA-P-0127,Harrowgate Works,290,357
SEA-P-0127,Ironside Manufacturing,219,334
SEA-P-0128,Vantage Works,298,396
SEA-P-0128,Underhill Industries ,117,177
SEA-P-0129,Eastvale Industries ,139,148
SEA-P-0129,Ironside  Manufacturing,118,176
SEA-P-0130,Vantage  Works,95,145
SEA-P-0131,Kestrel Corp,235,290
SEA-P-0131,Deepwater Corporation,18,19
SEA-P-0132,Marrow Corporation,142,183
SEA-P-0132,Ravensford Corporation,83,121
SEA-P-0133,Braxton  Industries,252,337
SEA-P-0134,Lindholm Works,157,246
SEA-P-0134,Deepwater Corporation,170,189
SEA-P-0135,Stanmore Manufacturing,24,30
SEA-P-0135,norbury corporation,120,159
SEA-P-0136,Kestrel Corporation,216,261
SEA-P-0136,Marrow Corporation,90,134
SEA-P-0137,EASTVALE INDUSTRIES,205,313
SEA-P-0137,westmere corporation,57,67
SEA-P-0138,lindholm works,61,81
SEA-P-0138,MARROW CORPORATION,78,92
SEA-P-0139,Northwind Corporation,41,47
SEA-P-0140,Pellworth Corporation,31,38
SEA-P-0141,Braxton Industries,191,287
SEA-P-0142,Kestrel Corp.,286,450
SEA-P-0143,THACKERY INDUSTRIES,246,326
SEA-P-0143,braxton industries,178,283
SEA-P-0144,glenmoor corporation,227,362
SEA-P-0145,Stanmore Manufacturing,29,43
SEA-P-0145,Underhill Inds.,201,256
SEA-P-0146,KESTREL CORPORATION,200,241
SEA-P-0147,Westmere Corporation ,171,256
SEA-P-0148,Fairmont Industries,95,149
SEA-P-0149,Jasper Works,42,50
SEA-P-0150,Thackery Inds.,81,92
SEA-P-0150,marrow corporation,148,216
SEA-P-0150,Fairmont Industries,25,31
SEA-P-0151,Lindholm Works,295,469
SEA-P-0151,Vantage Works ,105,156
SEA-P-0151,Ironside Manufacturing,198,262
SEA-P-0152,Calder Corporation ,193,261
SEA-P-0153,Quillon Manufacturing,85,102
SEA-P-0154,Harrowgate  Works,16,20
SEA-P-0154,Norbury Corporation,123,155
SEA-P-0155,Westmere  Corporation,22,26
SEA-P-0156,Harrowgate Works ,273,350
SEA-P-0156,Jasper Works,65,69
SEA-P-0156,Westmere Corporation,43,45
SEA-P-0157,Braxton Industries,297,351
SEA-P-0157,Underhill Industries,258,355
SEA-P-0158,NORBURY CORPORATION,126,171
SEA-P-0159,Fairmont Industries,37,58
SEA-P-0160,Quillon  Manufacturing,243,260
SEA-P-0160,Ironside Manufacturing,11,13
SEA-P-0162,Marrow Corporation,248,346
SEA-P-0162,Glenmoor Corporation ,237,253
SEA-P-0163,Northwind Corporation,266,337
SEA-P-0166,NORBURY CORPORATION,95,128
SEA-P-0167,Marrow Corporation ,24,34
SEA-P-0168,CALDER CORPORATION,190,237
SEA-P-0168,norbury corporation,227,242
SEA-P-0168,Underhill Inds,210,262
SEA-P-0169,Thackery Industries,230,338
SEA-P-0169,Harrowgate Works,16,23
SEA-P-0169,Underhill Industries,206,251
SEA-P-0170,DEEPWATER CORPORATION,136,195
SEA-P-0170,Ironside Manufacturing,254,294
SEA-P-0171,Kestrel Corporation,230,367
SEA-P-0172,Marrow Corporation,151,232
SEA-P-0172,Eastvale Inds.,74,87
SEA-P-0172,Fairmont Industries,92,136
SEA-P-0173,Eastvale Inds,285,319
SEA-P-0173,Ironside Manufacturing,206,329
SEA-P-0174,Norbury  Corporation,267,330
SEA-P-0175,Ironside Mfg,260,403
SEA-P-0175,Pellworth Corporation,118,146
SEA-P-0175,Glenmoor Corporation,81,98
