part_number,description,source_type,sourcing_list_status,on_hand_units,tooling_owner,annual_spend_usd
SEA-FG-00,Finished Good 1,make,,0,,336367
SEA-FG-01,Finished Good 2,make,,2465,supplier,852069
SEA-FG-02,Finished Good 3,make,,3208,supplier,849935
SEA-FG-03,Finished Good 4,make,,1952,company,806092
SEA-P-0000,Laminated Bushing,make,verified,2412,company,169378
SEA-P-0001,Axial Lever,make,,430,supplier,254867
SEA-P-0002,Etched Damper,make,,1111,company,831672
SEA-P-0003,Damped Collar,make,verified,,company,803164
SEA-P-0004,Milled Bushing,make,,3902,supplier,889624
SEA-P-0005,Laminated Lever,make,,3286,company,881988
SEA-P-0006,Inline Bushing,make,,3482,,250041
SEA-P-0007,Keyed Gasket,make,,2446,company,775959
SEA-P-0008,Axial Bracket,make,,2877,,622298
SEA-P-0009,Beveled Damper,make,,135,company,370765
SEA-P-0010,Damped Insert,make,,3901,company,151005
SEA-P-0011,Keyed Bracket,make,,2326,company,879340
SEA-P-0012,Inline Damper,make,,3339,company,518137
SEA-P-0013,Milled Knuckle,make,,2240,company,516259
SEA-P-0014,Milled Insert,make,,175,supplier,245923
SEA-P-0015,Guided Damper,make,,0,supplier,554021
SEA-P-0016,Hardened Journal,make,,,supplier,645966
SEA-P-0017,Etched Bracket,make,,845,company,359311
SEA-P-0018,Cast Lever,make,,2956,supplier,843403
SEA-P-0019,Guided Flange,make,,3478,,64448
SEA-P-0020,Etched Collar,make,,109,supplier,740927
SEA-P-0021,Damped Flange,make,,0,supplier,118308
SEA-P-0022,Beveled Bushing,make,,3487,company,384614
SEA-P-0023,Guided Bushing,make,,3954,supplier,740761
SEA-P-0024,Forged Flange,make,,3878,company,616483
SEA-P-0025,Keyed Elbow,make,,0,company,340273
SEA-P-0026,Axial Lever,make,,578,company,769926
SEA-P-0027,Hardened Insert,make,verified,3905,,672318
SEA-P-0028,Beveled Gasket,make,,3954,company,334695
SEA-P-0029,Beveled Insert,make,,733,company,591275
SEA-P-0030,Etched Knuckle,make,,2860,company,645520
SEA-P-0031,Keyed Flange,make,,3243,company,699860
