part_number,supplier_name,supplier_region,qualification_date
SEA-P-0000,Kestrel Corporation,north_america,2024-06-01
SEA-P-0000,Northwind Corporation,east_asia,2024-06-01
SEA-P-0003,Yarrow Holdings,east_asia,2024-06-01
SEA-P-0003,Glenmoor Corporation,europe,2024-06-01
SEA-P-0027,Fairmont Industries,europe,2024-06-01
SEA-P-0040,Marrow Corporation,europe,2024-06-01
SEA-P-0064,Glenmoor Corporation,europe,2024-06-01
SEA-P-0089,Jasper Wks.,south_asia,2025-02-22
SEA-P-0089,Underhill Industries,east_asia,2022-01-08
SEA-P-0090,Pellworth Corporation,europe,2020-05-27
SEA-P-0090,Glenmoor Corporation,europe,2021-07-04
SEA-P-0090,Fairmont Industries,europe,2020-05-20
SEA-P-0091,Braxton Industries,south_asia,2022-12-13
SEA-P-0091,WESTMERE CORPORATION,europe,2025-08-03
SEA-P-0092,Calder Corporation,south_asia,2018-11-27
SEA-P-0092,Underhill Industries,east_asia,2018-02-08
SEA-P-0093,Stanmore Manufacturing,europe,2025-05-06
SEA-P-0093,jasper works,south_asia,2025-02-16
SEA-P-0093,Quillon Manufacturing,south_asia,2023-11-04
SEA-P-0094,Vantage Works,north_america,2024-09-02
SEA-P-0094,Fairmont Industries,europe,2022-06-04
SEA-P-0095,Yarrow Corporation,east_asia,2025-07-02
SEA-P-0095,Ironside Manufacturing,north_america,2020-05-15
SEA-P-0095,Fairmont Inds,europe,2025-11-15
SEA-P-0096,Lindholm  Works,north_america,2019-04-27
SEA-P-0096,Underhill Industries,east_asia,2020-05-18
SEA-P-0096,Westmere Corporation,europe,2019-11-27
SEA-P-0097,Quillon Manufacturing,south_asia,2022-07-27
SEA-P-0097,WESTMERE CORPORATION,europe,2021-08-18
SEA-P-0098,Harrowgate Wks.,south_asia,2025-03-15
SEA-P-0098,Quillon Manufacturing,south_asia,2019-05-25
SEA-P-0098,Ravensford Corporation,south_asia,2022-01-10
SEA-P-0099,Deepwater Corporation,europe,2021-10-13
SEA-P-0099,Ironside Manufacturing,north_america,2025-06-28
SEA-P-0100,Marrow Corporation,europe,2025-12-26
SEA-P-0100,Ravensford Corp.,south_asia,2020-08-02
SEA-P-0101,Oakhaven Manufacturing ,south_asia,2019-09-15
SEA-P-0101,Braxton Industries,south_asia,2024-11-05
SEA-P-0102,Marrow Corporation,europe,2024-11-03
SEA-P-0102,underhill industries,east_asia,2024-06-21
SEA-P-0102,Westmere Corporation,europe,2018-10-03
SEA-P-0103,Kestrel Corp.,north_america,2022-06-12
SEA-P-0103,Lindholm Wks.,north_america,2024-02-25
SEA-P-0103,Ravensford Corporation,south_asia,2022-01-02
SEA-P-0104,Pellworth Corporation,europe,2020-03-06
SEA-P-0104,Fairmont Inds.,europe,2024-10-22
SEA-P-0105,Lindholm Works,north_america,2022-08-09
SEA-P-0105,Braxton Industries,south_asia,2025-05-22
SEA-P-0106,Eastvale Industries ,east_asia,2022-11-14
SEA-P-0106,Pellworth Corporation,europe,2022-04-13
SEA-P-0107,Eastvale Industries,east_asia,2022-12-10
SEA-P-0107,Pellworth Corporation ,europe,2024-05-01
SEA-P-0108,Thackery Industries,south_asia,2025-05-25
SEA-P-0108,Underhill Industries,east_asia,2023-04-21
SEA-P-0108,RAVENSFORD CORPORATION,south_asia,2020-11-04
SEA-P-0109,Eastvale Industries,east_asia,2020-04-05
